clf,features,recall,precission,f1
lr,mean_all,0.9301,0.9299,0.9298
lr,mean_most_rel,0.9371,0.9369,0.9369
lr,mean_two_rel,0.8951,0.8949,0.8924
lr,mean_one_rel,0.8182,0.818,0.8154
lr,se_all,0.8741,0.8772,0.8707
lr,se_most_rel,0.8951,0.8977,0.8922
lr,se_two_rel,0.7902,0.8097,0.777
lr,se_one_rel,0.8531,0.8511,0.8517
lr,worst_all,0.958,0.9582,0.9579
lr,worst_most_rel,0.9371,0.937,0.937
lr,worst_two_rel,0.9441,0.944,0.9438
lr,worst_one_rel,0.9301,0.9301,0.9301
lr,mean_se_all,0.9161,0.9157,0.9157
lr,mean_se_most_rel,0.8951,0.8944,0.8943
lr,mean_se_two_rel,0.9301,0.9336,0.9284
lr,mean_se_one_rel,0.8531,0.8525,0.8506
lr,mean_worst_all,0.965,0.967,0.9647
lr,mean_worst_most_rel,0.958,0.958,0.958
lr,mean_worst_two_rel,0.9161,0.9194,0.9169
lr,mean_worst_one_rel,0.951,0.9509,0.9509
lr,se_worst_all,0.951,0.9524,0.9504
lr,se_worst_most_rel,0.965,0.9656,0.9649
lr,se_worst_two_rel,0.9441,0.9465,0.9435
lr,se_worst_one_rel,0.9161,0.9165,0.9155
lr,all,0.9441,0.9464,0.9434
lr,all_most_rel,0.972,0.972,0.972
lr,all_two_rel,0.951,0.951,0.9505
lr,all_one_rel,0.9301,0.9321,0.9294
lda,mean_all,0.958,0.9588,0.9575
lda,mean_most_rel,0.9301,0.9343,0.929
lda,mean_two_rel,0.9161,0.9155,0.915
lda,mean_one_rel,0.9091,0.9104,0.9072
lda,se_all,0.8252,0.8299,0.8118
lda,se_most_rel,0.7552,0.7746,0.7281
lda,se_two_rel,0.8182,0.8276,0.8111
lda,se_one_rel,0.7972,0.8223,0.7744
lda,worst_all,0.965,0.9669,0.9647
lda,worst_most_rel,0.965,0.9669,0.9647
lda,worst_two_rel,0.9021,0.9112,0.8994
lda,worst_one_rel,0.9301,0.9332,0.9279
lda,mean_se_all,0.951,0.9524,0.9504
lda,mean_se_most_rel,0.965,0.9649,0.9649
lda,mean_se_two_rel,0.951,0.9525,0.9504
lda,mean_se_one_rel,0.9021,0.9103,0.8984
lda,mean_worst_all,0.9441,0.9489,0.9433
lda,mean_worst_most_rel,0.951,0.9545,0.9501
lda,mean_worst_two_rel,0.9371,0.943,0.9359
lda,mean_worst_one_rel,0.9371,0.9394,0.9353
lda,se_worst_all,0.9301,0.9377,0.929
lda,se_worst_most_rel,0.958,0.9608,0.9576
lda,se_worst_two_rel,0.9231,0.9284,0.9217
lda,se_worst_one_rel,0.9091,0.9175,0.9074
lda,all,0.958,0.959,0.9577
lda,all_most_rel,0.951,0.955,0.9506
lda,all_two_rel,0.9021,0.9165,0.8998
lda,all_one_rel,0.8811,0.902,0.8776
svm_lin,mean_all,0.8741,0.889,0.8681
svm_lin,mean_most_rel,0.6783,0.0,0.0
svm_lin,mean_two_rel,0.6084,0.0,0.0
svm_lin,mean_one_rel,0.6434,0.0,0.0
svm_lin,se_all,0.8741,0.8769,0.8705
svm_lin,se_most_rel,0.7832,0.7792,0.7802
svm_lin,se_two_rel,0.6434,0.0,0.0
svm_lin,se_one_rel,0.6014,0.0,0.0
svm_lin,worst_all,0.9161,0.9172,0.9149
svm_lin,worst_most_rel,0.6643,0.0,0.0
svm_lin,worst_two_rel,0.6503,0.0,0.0
svm_lin,worst_one_rel,0.5804,0.0,0.0
svm_lin,mean_se_all,0.7832,0.8472,0.7706
svm_lin,mean_se_most_rel,0.6224,0.0,0.0
svm_lin,mean_se_two_rel,0.6503,0.0,0.0
svm_lin,mean_se_one_rel,0.6643,0.0,0.0
svm_lin,mean_worst_all,0.8811,0.9002,0.8752
svm_lin,mean_worst_most_rel,0.7203,0.7177,0.6883
svm_lin,mean_worst_two_rel,0.6923,0.0,0.0
svm_lin,mean_worst_one_rel,0.7902,0.841,0.7584
svm_lin,se_worst_all,0.8671,0.8747,0.8626
svm_lin,se_worst_most_rel,0.6434,0.0,0.0
svm_lin,se_worst_two_rel,0.6224,0.0,0.0
svm_lin,se_worst_one_rel,0.6643,0.0,0.0
svm_lin,all,0.8741,0.8903,0.8695
svm_lin,all_most_rel,0.7203,0.7089,0.6979
svm_lin,all_two_rel,0.7063,0.7997,0.6377
svm_lin,all_one_rel,0.6643,0.0,0.0
svm,mean_all,0.5804,0.0,0.0
svm,mean_most_rel,0.5944,0.0,0.0
svm,mean_two_rel,0.6294,0.0,0.0
svm,mean_one_rel,0.6643,0.0,0.0
svm,se_all,0.6434,0.0,0.0
svm,se_most_rel,0.7483,0.7461,0.7332
svm,se_two_rel,0.6434,0.0,0.0
svm,se_one_rel,0.6154,0.0,0.0
svm,worst_all,0.5804,0.0,0.0
svm,worst_most_rel,0.6643,0.0,0.0
svm,worst_two_rel,0.5944,0.0,0.0
svm,worst_one_rel,0.5944,0.0,0.0
svm,mean_se_all,0.6643,0.0,0.0
svm,mean_se_most_rel,0.6224,0.0,0.0
svm,mean_se_two_rel,0.6993,0.0,0.0
svm,mean_se_one_rel,0.5874,0.0,0.0
svm,mean_worst_all,0.6294,0.0,0.0
svm,mean_worst_most_rel,0.6294,0.0,0.0
svm,mean_worst_two_rel,0.6853,0.0,0.0
svm,mean_worst_one_rel,0.8322,0.8474,0.824
svm,se_worst_all,0.6573,0.0,0.0
svm,se_worst_most_rel,0.6364,0.0,0.0
svm,se_worst_two_rel,0.5944,0.0,0.0
svm,se_worst_one_rel,0.6154,0.0,0.0
svm,all,0.6224,0.0,0.0
svm,all_most_rel,0.5664,0.0,0.0
svm,all_two_rel,0.6503,0.0,0.0
svm,all_one_rel,0.6154,0.0,0.0
knn,mean_all,0.8881,0.8882,0.8864
knn,mean_most_rel,0.8951,0.8948,0.8949
knn,mean_two_rel,0.8811,0.8805,0.8808
knn,mean_one_rel,0.8671,0.8677,0.8674
knn,se_all,0.8322,0.8314,0.8289
knn,se_most_rel,0.7762,0.7737,0.7663
knn,se_two_rel,0.8042,0.8132,0.7974
knn,se_one_rel,0.7692,0.7703,0.7697
knn,worst_all,0.9161,0.9165,0.9155
knn,worst_most_rel,0.9301,0.9333,0.9309
knn,worst_two_rel,0.972,0.9723,0.972
knn,worst_one_rel,0.8811,0.8878,0.8823
knn,mean_se_all,0.8741,0.8735,0.8736
knn,mean_se_most_rel,0.8601,0.8601,0.8601
knn,mean_se_two_rel,0.8741,0.8751,0.8715
knn,mean_se_one_rel,0.8741,0.8744,0.8711
knn,mean_worst_all,0.9301,0.9308,0.9297
knn,mean_worst_most_rel,0.9091,0.9116,0.9099
knn,mean_worst_two_rel,0.951,0.9513,0.9511
knn,mean_worst_one_rel,0.9301,0.9374,0.9286
knn,se_worst_all,0.9091,0.9143,0.9078
knn,se_worst_most_rel,0.9441,0.9441,0.9441
knn,se_worst_two_rel,0.951,0.9515,0.9509
knn,se_worst_one_rel,0.8462,0.8514,0.8421
knn,all,0.965,0.9653,0.9651
knn,all_most_rel,0.9161,0.923,0.9147
knn,all_two_rel,0.9301,0.9314,0.9305
knn,all_one_rel,0.9301,0.9304,0.9295
nm_g,mean_all,0.9371,0.9375,0.9372
nm_g,mean_most_rel,0.9091,0.9088,0.9089
nm_g,mean_two_rel,0.951,0.9525,0.9505
nm_g,mean_one_rel,0.9091,0.9093,0.908
nm_g,se_all,0.8392,0.8441,0.8336
nm_g,se_most_rel,0.8042,0.8048,0.7981
nm_g,se_two_rel,0.8671,0.8697,0.8622
nm_g,se_one_rel,0.8252,0.8459,0.8121
nm_g,worst_all,0.965,0.965,0.965
nm_g,worst_most_rel,0.9021,0.9021,0.9021
nm_g,worst_two_rel,0.9301,0.9307,0.9296
nm_g,worst_one_rel,0.9231,0.9287,0.9219
nm_g,mean_se_all,0.9371,0.9395,0.9355
nm_g,mean_se_most_rel,0.951,0.9526,0.9514
nm_g,mean_se_two_rel,0.9091,0.9118,0.9081
nm_g,mean_se_one_rel,0.8531,0.8575,0.8467
nm_g,mean_worst_all,0.9021,0.9034,0.9026
nm_g,mean_worst_most_rel,0.9371,0.9406,0.9377
nm_g,mean_worst_two_rel,0.9021,0.9103,0.9033
nm_g,mean_worst_one_rel,0.8951,0.9022,0.8928
nm_g,se_worst_all,0.9441,0.9439,0.9438
nm_g,se_worst_most_rel,0.9371,0.937,0.937
nm_g,se_worst_two_rel,0.9371,0.94,0.936
nm_g,se_worst_one_rel,0.8462,0.851,0.8419
nm_g,all,0.9231,0.9232,0.9227
nm_g,all_most_rel,0.9371,0.9372,0.9367
nm_g,all_two_rel,0.9021,0.9015,0.9016
nm_g,all_one_rel,0.9161,0.9178,0.9152
rf,mean_all,0.9021,0.9019,0.9012
rf,mean_most_rel,0.9301,0.931,0.9303
rf,mean_two_rel,0.9301,0.9299,0.9298
rf,mean_one_rel,0.9301,0.9296,0.9296
rf,se_all,0.8811,0.8801,0.8802
rf,se_most_rel,0.8531,0.8598,0.8484
rf,se_two_rel,0.8531,0.8514,0.8519
rf,se_one_rel,0.7972,0.7951,0.7958
rf,worst_all,0.9371,0.94,0.936
rf,worst_most_rel,0.9441,0.9461,0.9431
rf,worst_two_rel,0.9301,0.9301,0.9299
rf,worst_one_rel,0.9161,0.9195,0.9146
rf,mean_se_all,0.958,0.958,0.958
rf,mean_se_most_rel,0.8881,0.8974,0.886
rf,mean_se_two_rel,0.8462,0.8453,0.8456
rf,mean_se_one_rel,0.9091,0.9104,0.9072
rf,mean_worst_all,0.9371,0.9381,0.9363
rf,mean_worst_most_rel,0.9371,0.937,0.937
rf,mean_worst_two_rel,0.951,0.9513,0.9507
rf,mean_worst_one_rel,0.9161,0.9193,0.9144
rf,se_worst_all,0.9161,0.9155,0.9156
rf,se_worst_most_rel,0.9441,0.9447,0.9436
rf,se_worst_two_rel,0.9161,0.922,0.9138
rf,se_worst_one_rel,0.9161,0.9175,0.915
rf,all,0.965,0.9664,0.9652
rf,all_most_rel,0.9231,0.923,0.923
rf,all_two_rel,0.9371,0.9429,0.9358
rf,all_one_rel,0.9231,0.9253,0.9217
xgb,mean_all,0.951,0.9523,0.9512
xgb,mean_most_rel,0.9161,0.9227,0.9145
xgb,mean_two_rel,0.9161,0.9173,0.9165
xgb,mean_one_rel,0.8811,0.8841,0.8787
xgb,se_all,0.8881,0.8898,0.8888
xgb,se_most_rel,0.7972,0.7959,0.7962
xgb,se_two_rel,0.8462,0.846,0.8431
xgb,se_one_rel,0.8392,0.8471,0.8321
xgb,worst_all,0.965,0.9662,0.9652
xgb,worst_most_rel,0.9441,0.945,0.9443
xgb,worst_two_rel,0.9441,0.9447,0.9442
xgb,worst_one_rel,0.8462,0.8471,0.8438
xgb,mean_se_all,0.965,0.9655,0.9648
xgb,mean_se_most_rel,0.965,0.9656,0.9648
xgb,mean_se_two_rel,0.9091,0.9133,0.9101
xgb,mean_se_one_rel,0.8951,0.894,0.8932
xgb,mean_worst_all,0.951,0.9547,0.9503
xgb,mean_worst_most_rel,0.9371,0.937,0.9366
xgb,mean_worst_two_rel,0.951,0.9544,0.9515
xgb,mean_worst_one_rel,0.9091,0.9088,0.9085
xgb,se_worst_all,0.979,0.9796,0.9787
xgb,se_worst_most_rel,0.951,0.9514,0.9508
xgb,se_worst_two_rel,0.9301,0.9307,0.9296
xgb,se_worst_one_rel,0.8671,0.866,0.8654
xgb,all,0.951,0.9514,0.9512
xgb,all_most_rel,0.965,0.9651,0.965
xgb,all_two_rel,0.993,0.9931,0.993
xgb,all_one_rel,0.9091,0.9085,0.9083
gb,mean_all,0.9371,0.9384,0.9365
gb,mean_most_rel,0.986,0.9863,0.986
gb,mean_two_rel,0.9021,0.9016,0.901
gb,mean_one_rel,0.8531,0.8524,0.8527
gb,se_all,0.9091,0.9136,0.9102
gb,se_most_rel,0.8112,0.8139,0.8122
gb,se_two_rel,0.8531,0.8521,0.8515
gb,se_one_rel,0.7972,0.7949,0.7957
gb,worst_all,0.9371,0.9369,0.9369
gb,worst_most_rel,0.972,0.9732,0.9717
gb,worst_two_rel,0.9301,0.934,0.9288
gb,worst_one_rel,0.9091,0.9083,0.9083
gb,mean_se_all,0.965,0.9664,0.9653
gb,mean_se_most_rel,0.9441,0.9443,0.9433
gb,mean_se_two_rel,0.9091,0.9086,0.9084
gb,mean_se_one_rel,0.9301,0.9304,0.9295
gb,mean_worst_all,0.951,0.9511,0.951
gb,mean_worst_most_rel,0.9301,0.932,0.9293
gb,mean_worst_two_rel,0.958,0.9588,0.9582
gb,mean_worst_one_rel,0.8811,0.8799,0.8801
gb,se_worst_all,0.951,0.9513,0.9511
gb,se_worst_most_rel,0.958,0.958,0.958
gb,se_worst_two_rel,0.9441,0.9441,0.9439
gb,se_worst_one_rel,0.8951,0.897,0.8937
gb,all,0.979,0.9803,0.9792
gb,all_most_rel,0.951,0.9513,0.9511
gb,all_two_rel,0.9231,0.9228,0.9229
gb,all_one_rel,0.9021,0.9052,0.9029
